"wfood","totexp","age","size","town","sex"
0.40402594348947,480583,38,4,4,"man"
0.431388315078674,756154,34,6,4,"man"
0.123927999979254,1928055,44,4,5,"man"
0.579128210800153,1094003,34,4,4,"man"
0.214417272460739,532084,37,4,4,"man"
0.215739972941125,1833040,37,4,4,"man"
0.317085501938502,1491358,29,6,4,"man"
0.424774257031008,471554,29,3,4,"man"
0.532135056491231,551236,32,5,1,"man"
0.343570271564133,304974,69,1,2,"woman"
0.39087860758833,613152,54,3,2,"man"
0.162426194854028,592269,58,1,5,"woman"
0.714065288788496,413486,71,4,4,"man"
0.740104381113473,269589,67,2,3,"man"
0.735212527964206,547575,67,3,4,"man"
0.273614511496148,1971182,54,4,4,"man"
0.654765898308334,584276,48,5,1,"man"
0.303451006382146,464734,63,2,4,"man"
0.5010448551919,543616,28,3,4,"man"
0.441350012978974,801296,53,2,3,"man"
0.823346292506835,849334,77,3,3,"man"
0.0546146800649127,2880178,34,4,5,"man"
0.495443666040383,411954,66,3,4,"man"
0.467819489006103,806311,45,5,4,"man"
0.367635189669088,1030848,48,5,1,"man"
0.222306366882192,1045818,35,4,3,"man"
0.484710022665228,552388,42,7,2,"man"
0.679192723138147,492520,55,7,5,"man"
0.315555952327813,1344180,68,3,5,"man"
0.446531582710774,455914,26,3,1,"man"
0.283451868337446,868098,44,6,2,"man"
0.658943961345176,258286,57,2,3,"woman"
0.281297352354964,1272376,37,5,4,"man"
0.533905155079928,598788,45,4,2,"man"
0.16002772698481,1840806,44,5,4,"man"
0.245619128889141,564842,27,2,3,"man"
0.700479968002133,600040,57,6,2,"man"
0.57377749127228,477788,47,2,1,"woman"
0.504415615705193,697298,38,6,4,"man"
0.0713885697645022,1249948,25,2,5,"man"
0.547488059580669,617650,35,6,2,"man"
0.490616985153343,442928,39,5,3,"man"
0.231167582862635,1481488,45,4,4,"man"
0.360816684073987,1187240,58,3,5,"man"
0.560929089136608,471860,49,4,1,"man"
0.283645311782236,1299609,69,4,5,"man"
0.540934635123973,738470,39,4,4,"man"
0.38823761290212,466776,58,2,1,"man"
0.291388829138883,1450488,44,7,4,"man"
0.360891572056724,565832,29,4,4,"man"
0.445436651301856,401350,39,5,4,"man"
0.766913280776228,164900,68,5,2,"woman"
0.218845409532648,1517144,68,3,4,"woman"
0.682306940371456,79794,76,2,1,"man"
0.0541566606577531,313978,32,1,3,"woman"
0.332230369117002,1276560,73,2,4,"man"
0.479656481620346,633445,48,2,1,"man"
0.587576843855404,188857,81,2,2,"woman"
0.248743046887531,1084766,29,3,2,"man"
0.512918547786295,782557,53,3,2,"man"
0.559640712989249,171896,70,1,1,"man"
0.224149946887192,1007290,55,3,4,"man"
0.0977178387303493,2771408,25,4,5,"woman"
0.177813279642841,913880,32,2,3,"man"
0.480470582715586,341024,64,2,3,"man"
0.411513411303312,57116,56,1,2,"woman"
0.198011990603688,1125548,27,4,2,"man"
0.304223171567953,893949,40,5,4,"man"
0.393012947728246,686298,32,3,2,"man"
0.461933364666023,774484,51,4,5,"man"
0.33325876113648,151978,33,4,4,"woman"
0.190026280390829,1590159,81,2,4,"man"
0.46676472837357,444618,59,2,2,"man"
0.681991820086898,533502,75,3,3,"man"
0.654700725849004,451058,62,4,4,"man"
0.350297880944121,870482,63,3,4,"man"
0.150775648601795,942566,24,3,4,"woman"
0.26200693978205,3115948,73,8,3,"man"
0.204859826078422,1956284,40,4,5,"man"
0.531820227831446,462096,52,3,3,"man"
0.179003752726294,2555209,51,7,4,"man"
0.385068539171663,634017,65,3,4,"man"
0.314953545797915,622441,22,6,4,"man"
0.712473790946276,378209,54,4,2,"man"
0.192211473913484,1656488,75,3,4,"man"
0.301902050113895,702400,38,4,1,"man"
0.343922236697064,818278,39,5,1,"man"
0.35905307252526,889952,44,3,3,"woman"
0.481795015100318,195029,61,2,3,"man"
0.540099961553249,169065,74,2,2,"woman"
0.220601638998432,990727,43,3,3,"woman"
0.577616640931631,294022,75,2,3,"man"
0.229655372140168,745848,49,5,5,"man"
0.422346896568086,969459,47,4,5,"man"
0.488242433811267,405356,44,4,1,"man"
0.196166430067633,2103418,45,9,4,"woman"
0.304842428583519,484447,60,4,4,"man"
0.200883458433167,880630,67,2,4,"woman"
0.229326213728659,185029,78,1,4,"woman"
0.377529614142064,572024,68,5,3,"man"
0.674410546341442,1789284,42,9,4,"man"
0.572899871326908,761620,43,13,4,"man"
0.651124128312413,717000,57,5,4,"man"
0.00580740395447306,1029720,26,1,5,"woman"
0.353183296115758,377062,58,2,4,"woman"
0.330332107617227,412276,32,6,4,"man"
0.572789897789167,205262,55,2,5,"man"
0.515989182704955,95033,64,1,3,"man"
0.288463545251978,1140359,40,5,4,"man"
0.210241146475605,1507507,51,6,4,"man"
0.216307997732002,1315698,28,2,4,"man"
0.662224630084361,142127,86,2,3,"man"
0.281730745333897,804740,23,3,5,"man"
0.397912903873169,647790,43,4,4,"man"
0.478437653321904,709292,36,5,1,"man"
0.254807860720916,742222,33,4,4,"man"
0.431303503299119,1408558,44,9,3,"man"
0.319059006800106,785723,55,3,4,"man"
0.249449533873991,1906566,50,3,4,"man"
0.750432380225062,445210,71,3,2,"man"
0.139124613685303,448145,57,2,1,"woman"
0.201706587845618,998718,45,4,4,"man"
0.347825727359382,483633,43,3,4,"man"
0.246953587822198,1019560,53,2,4,"man"
0.199589914935148,1492861,51,5,4,"man"
0.436331926863572,711000,50,3,4,"man"
0.486036516481644,316898,55,2,4,"man"
0.307739732799786,687724,25,3,4,"man"
0.594911195895277,380050,62,2,1,"man"
0.306201093154025,813792,46,6,2,"woman"
0.321945569452974,2572820,48,8,4,"man"
0.193962549375909,1545288,38,4,4,"man"
0.403127016082019,1029224,41,5,4,"woman"
0.252171344958587,595944,24,3,3,"man"
0.459451147177968,910408,55,5,4,"man"
0.329526659412405,735200,32,5,2,"man"
0.473498572354056,500124,20,3,4,"man"
0.328342669418355,1187150,53,2,1,"man"
0.118221808645631,472840,28,1,4,"man"
0.386078928062234,577944,42,4,3,"man"
0.216899246592371,2405338,42,6,3,"man"
0.262866396258834,1547539,51,5,3,"man"
0.36280504567908,691126,53,4,3,"man"
0.143389286909468,3101738,44,5,2,"man"
0.233414573489182,1306825,52,5,5,"man"
0.522586247730323,380010,53,3,1,"man"
0.282207737388884,878927,45,5,4,"man"
0.335829407536342,1346648,56,5,5,"man"
0.230273089757331,1580506,31,5,5,"man"
0.461995828216075,410376,33,3,1,"man"
0.273855380137126,855415,42,5,3,"man"
0.523586711139927,256034,36,4,3,"man"
0.296027173445696,1209416,56,3,4,"man"
0.547524414479219,656168,56,3,2,"man"
0.292276252392045,1231164,43,4,4,"man"
0.565016866803365,332606,81,2,2,"man"
0.528613639214484,573992,40,4,4,"man"
0.204208784090621,2169035,62,4,4,"man"
0.242491040582626,1457126,63,5,2,"man"
0.253570556714387,827462,77,3,4,"man"
0.324341786862556,1622005,35,4,4,"man"
0.185901893995157,2363892,56,6,4,"man"
0.478657380009408,856713,42,8,4,"man"
0.223236803506168,1137196,38,4,2,"man"
0.376483325016282,827617,49,5,3,"man"
0.123065283910668,2670030,45,2,4,"man"
0.620006558044346,707528,45,4,2,"man"
0.608206889539153,354044,57,5,2,"man"
0.328190839193008,1521700,37,6,1,"man"
0.218363319111811,1503824,37,4,4,"man"
0.343208495840919,2126311,37,7,3,"man"
0.391962130642146,448278,65,2,5,"man"
0.322171881522599,620439,55,3,4,"man"
0.556604355604911,486270,44,4,2,"man"
0.557140995787131,1197284,55,5,4,"man"
0.456102236098134,789858,40,6,3,"man"
0.482729590883161,615301,42,6,3,"man"
0.581216102479212,572682,56,5,4,"woman"
0.495571968257793,1294932,38,5,3,"man"
0.419583963511684,1262870,49,4,4,"man"
0.577161617495916,620762,68,2,1,"man"
0.272237090161233,1972178,55,4,5,"man"
0.229695180439594,535858,71,2,4,"man"
0.166425576060433,1779414,56,4,4,"man"
0.535462867636829,467207,75,2,1,"man"
0.567476293707325,406854,59,2,2,"woman"
0.462679420669693,555538,75,2,5,"woman"
0.277463904582549,1277586,22,2,4,"man"
0.346713454749467,755748,67,3,3,"man"
0.585573667694356,727198,60,2,3,"man"
0.195933153445937,1073264,31,4,4,"man"
0.535355959014281,225054,76,2,1,"man"
0.25851164423507,176611,58,1,4,"man"
0.287366763565892,132096,21,3,4,"man"
0.197840990166579,1289480,39,4,4,"man"
0.332311441809795,2291176,40,4,5,"man"
0.119736320737726,1443572,57,3,3,"man"
0.311426590511407,302890,48,2,2,"man"
0.137494147134161,1887964,39,4,4,"man"
0.578816436963193,330426,46,2,1,"man"
0.434423364844866,927068,30,5,5,"man"
0.592049589812202,533658,50,7,3,"man"
0.19963923663685,1187482,24,3,4,"woman"
0.504119394522829,677284,63,4,4,"man"
0.368926199356724,545334,45,2,4,"man"
0.555803269649309,377227,57,3,3,"man"
0.485693290877107,583817,74,2,3,"man"
0.296953427506095,892544,40,5,2,"man"
0.741359010526561,171566,78,2,2,"woman"
0.672051269009715,196610,73,2,1,"man"
0.309166496902752,265074,67,3,5,"woman"
0.265074171053599,911609,46,4,5,"man"
0.248465228177292,867067,52,3,1,"man"
0.204929506489434,2321774,69,4,4,"man"
0.35276353827471,372204,51,3,2,"man"
0.191959373677529,767975,57,1,1,"woman"
0.330098531806546,1236758,58,2,4,"man"
0.372965086096189,731972,45,5,3,"man"
0.638353109819224,251140,37,4,1,"woman"
0.352127775954491,1096920,27,4,3,"man"
0.464305102148596,407103,69,2,4,"man"
0.525635676188616,2027526,65,4,2,"woman"
0.201091964737529,375470,59,1,3,"woman"
0.501785973334939,730694,33,6,3,"man"
0.244595421376998,938186,63,3,4,"man"
0.164749226058999,469028,24,2,4,"man"
0.626790546294019,211388,64,2,2,"man"
0.44795661224937,365080,82,2,2,"man"
0.485209820355145,752763,38,4,2,"man"
0.180968853292059,858004,42,4,3,"man"
0.240580387933071,1693488,57,2,4,"man"
0.352660872638124,724424,35,6,4,"man"
0.422875866305953,371116,50,5,1,"man"
0.0295808115976415,5883679,45,4,5,"man"
0.277609795549871,1329175,36,4,4,"man"
0.413848367298621,549090,38,6,4,"man"
0.332102864284388,1001786,50,5,5,"man"
0.359504593297876,699062,62,4,4,"man"
0.729297877303476,171480,79,3,4,"man"
0.3106344877552,292614,37,2,4,"woman"
0.00586696653384506,1063582,25,2,4,"man"
0.40915772305338,1291238,45,6,4,"man"
0.422170263726807,385778,73,2,2,"man"
0.421085558339584,313295,75,2,5,"man"
0.320428603427547,875028,36,3,4,"man"
0.26425609924758,1019511,44,5,3,"man"
0.154357030551732,613124,28,3,4,"man"
0.341808739538825,820295,42,4,2,"man"
0.212458225700069,1270518,34,4,5,"man"
0.309009262521667,845774,38,5,4,"man"
0.655385157764851,589992,44,6,2,"man"
0.683124305445309,151176,69,2,1,"man"
0.26349103557048,765916,36,5,4,"man"
0.534220142633993,282962,44,4,1,"man"
0.330348854913093,814436,30,3,5,"man"
0.234961362594848,888129,50,4,3,"man"
0.220728922478381,626651,22,3,4,"man"
0.542195203108447,1601829,54,7,3,"man"
0.238247877340861,1819416,37,4,4,"man"
0.232326373717928,1572357,42,5,5,"man"
0.416429048110174,329660,77,2,1,"woman"
0.311331424149631,604796,66,2,4,"man"
0.299706516742689,1244364,22,3,4,"man"
0.707193408682793,37868,82,1,1,"woman"
0.498588434267872,384325,78,5,3,"man"
0.247420091303426,1098973,35,5,5,"man"
0.472118285277781,308948,50,4,1,"man"
0.53236396008754,916606,49,7,2,"man"
0.204335680696254,2137150,26,2,4,"man"
0.232702853458705,552172,72,3,3,"man"
0.264803588598689,969292,48,6,2,"man"
0.711356213524656,224124,55,4,1,"man"
0.451247925574095,244646,58,1,1,"woman"
0.49595324956087,592080,44,6,4,"man"
0.474455233148922,991984,41,3,4,"man"
0.291334118795384,405706,66,1,3,"woman"
0.471476602546437,653148,61,5,2,"woman"
0.294947474584818,943924,58,3,1,"man"
0.392464237959914,584838,53,3,1,"man"
0.307677914599465,1047511,43,6,3,"man"
0.210989905027562,481824,64,3,1,"man"
0.0913428323919581,1664586,32,4,5,"man"
0.464421169331311,548416,64,3,2,"man"
0.498882877819153,284660,62,4,1,"man"
0.525555554421001,979337,49,6,4,"man"
0.207757901520109,2001830,53,2,4,"man"
0.187074296429854,2008293,51,6,5,"man"
0.721452672704671,630672,31,6,4,"man"
0.473663436814835,876614,46,6,4,"man"
0.599106460876727,468698,37,4,4,"man"
0.294345666473351,1331156,72,4,2,"man"
0.359278523269807,838447,27,4,4,"man"
0.346521398102483,465345,36,4,1,"man"
0.431477132698726,835057,42,5,4,"man"
0.521053564998683,372146,75,3,4,"man"
0.517241944382234,366142,54,3,4,"man"
0.669910842364633,291394,70,4,4,"man"
0.420466248907158,873868,46,6,4,"man"
0.402185141127322,919666,59,3,3,"man"
0.408285070983729,485886,68,2,4,"man"
0.388441264031901,585808,30,3,4,"man"
0.367501633428433,860154,39,4,2,"man"
0.443810342006218,195552,73,3,4,"man"
0.861195730661612,709056,51,2,2,"man"
0.422192486630889,839996,59,4,2,"man"
0.415520338937602,149172,31,2,2,"woman"
0.436369159499535,632052,70,2,4,"man"
0.337051099073681,725884,36,4,3,"man"
0.591771771618211,782234,33,4,3,"man"
0.306579885357509,1509388,30,3,2,"man"
0.582722018271945,311078,74,2,2,"man"
0.267728473312285,1007842,62,4,4,"man"
0.423600734078396,704012,33,4,4,"man"
0.645045616024818,239828,78,2,2,"man"
0.300947920318012,804498,64,3,3,"man"
0.25391141584098,688114,46,4,1,"man"
0.351064533921677,181300,74,1,2,"woman"
0.419757423418785,660410,43,5,2,"man"
0.261690119030808,878092,22,4,2,"man"
0.497199555354276,607225,57,4,5,"man"
0.364779906690455,1161939,50,4,5,"man"
0.427497149197152,778728,26,4,3,"man"
0.558016483865422,645601,41,8,1,"man"
0.350805543798348,888344,34,4,4,"man"
0.806565534954651,99672,71,1,1,"woman"
0.382887708373287,818663,49,4,4,"man"
0.282402918452609,811663,34,4,4,"man"
0.470366671422457,595765,61,2,4,"man"
0.144548286604361,1836120,52,4,3,"man"
0.261867754062081,2204166,48,8,4,"man"
0.420591109498737,1223868,44,5,3,"man"
0.439321573372392,94218,71,1,3,"woman"
0.181264079645375,1321056,33,5,3,"man"
0.403488840597898,605588,56,6,1,"man"
0.668448311580692,579240,67,4,2,"man"
0.377954760984862,1366608,54,3,3,"man"
0.140074899336418,1065430,38,1,1,"man"
0.248594000727992,1560456,73,6,4,"man"
0.0846754132993357,1957782,37,4,4,"man"
0.104576355328612,2368872,53,7,3,"man"
0.358118332842733,1929608,52,4,3,"man"
0.241938585806783,405574,82,1,2,"woman"
0.258289795726254,679872,23,4,4,"woman"
0.474873591748868,2325402,53,7,4,"man"
0.285971494382362,795352,50,4,3,"man"
0.367965145839844,643137,58,5,4,"man"
0.267632963446662,1399708,45,6,3,"man"
0.655490325609609,481374,48,5,3,"man"
0.284187259563774,1136476,35,5,5,"man"
0.358249870748218,1164394,28,5,4,"man"
0.275695686253219,589418,56,2,3,"man"
0.49798234918423,551136,42,5,3,"man"
0.272228767798061,2149883,51,7,2,"man"
0.136801925325475,762884,77,1,2,"woman"
0.353000027620325,977541,70,5,4,"man"
0.401068924584681,342026,72,2,1,"man"
0.293248983280615,1272475,32,4,5,"man"
0.837993165579372,103008,83,1,1,"woman"
0.747655163789108,271874,52,2,1,"man"
0.46068634286157,671268,46,3,3,"man"
0.314558797698559,466838,29,3,4,"man"
0.278817547465787,295792,60,1,1,"woman"
0.614878390048939,597484,77,2,2,"woman"
0.210131498120712,1536752,40,4,4,"man"
0.450738364663883,303644,62,1,2,"woman"
0.423665734575228,695926,53,6,4,"man"
0.1234697091435,1555750,27,5,5,"man"
0.674356395386163,186916,72,3,3,"man"
0.40549214171061,952561,60,3,4,"man"
0.59553143358021,677667,72,4,4,"man"
0.46040119173945,392032,58,3,2,"man"
0.441324072755301,477436,68,2,2,"man"
0.24435542607429,428376,70,1,4,"woman"
0.571327110700215,1306628,58,9,4,"man"
0.393161403163314,690668,40,4,5,"man"
0.596824509940867,171816,41,5,4,"man"
0.255013761818285,1623332,43,10,3,"man"
0.481510781151748,985980,55,5,3,"man"
0.264803185427327,1066105,28,2,3,"man"
0.349184091363543,395081,65,2,1,"woman"
0.435130427339454,1168275,38,3,4,"man"
0.569052673743241,124825,79,2,1,"man"
0.327396268232344,1028735,41,6,3,"man"
0.0911853684895251,2905510,43,4,4,"man"
0.557039395145245,251300,63,5,2,"man"
0.359570828075771,516716,49,3,1,"man"
0.795775139280114,272293,30,4,4,"man"
0.299352830793171,1092450,76,3,3,"man"
0.467921960348274,493749,57,5,2,"man"
0.436635034153945,545325,42,4,2,"man"
0.414748638594343,431172,62,3,4,"man"
0.341869655968892,566286,58,2,3,"man"
0.614728255811002,1181810,69,4,2,"man"
0.510454811177365,427650,59,3,1,"man"
0.214063569989188,1019286,39,5,4,"man"
0.367612270286646,620556,27,4,5,"woman"
0.184712537823971,182424,74,1,5,"woman"
0.378079129151966,1071691,66,2,2,"man"
0.341706055860015,711278,55,5,2,"man"
0.359838821475514,695378,49,2,2,"man"
0.360237786896756,576819,42,3,5,"man"
0.616954025636536,217034,53,2,4,"woman"
0.132277842333802,523232,23,2,2,"man"
0.413626420693558,719103,68,2,3,"man"
0.379317371794072,721359,43,7,4,"man"
0.225680192068249,1007142,32,4,5,"man"
0.245353593112064,549134,31,2,4,"man"
0.150039161877965,1728722,64,3,4,"man"
0.579177829887624,562487,18,3,3,"man"
0.722887818814368,347224,69,2,4,"man"
0.444737364938181,523464,46,3,3,"man"
0.433871001661374,951020,33,3,3,"man"
0.555044231241163,427865,44,3,2,"woman"
0.281664803804208,1209608,41,5,4,"man"
0.266020496153608,2118739,43,5,3,"man"
0.573375235909843,481116,40,2,4,"man"
0.471279275585709,507334,36,4,3,"man"
0.288588787820591,916432,42,3,4,"man"
0.47741636623633,993020,40,5,4,"man"
0.554546837019675,828554,48,5,4,"man"
0.118777711766168,3241854,47,4,3,"man"
0.182300690865226,1185470,71,2,4,"man"
0.134514745299434,1208046,36,4,1,"man"
0.495354562980512,688848,53,4,5,"man"
0.194899803597837,127799,66,1,2,"woman"
0.26119013557728,1007986,43,6,1,"man"
0.433603410836711,503806,46,3,4,"man"
0.514904659239081,154918,35,1,1,"man"
0.368902623765376,214539,75,1,2,"woman"
0.331550096855294,485260,76,2,4,"man"
0.162930648610628,1125976,25,2,4,"man"
0.755388757690167,265924,69,2,4,"man"
0.469487573224137,351660,52,3,2,"man"
0.825925085452508,564056,71,1,2,"man"
0.636966047184269,185316,60,3,2,"man"
0.132696765238547,3077754,38,5,5,"man"
0.210260032966663,1189080,33,3,4,"man"
0.232412408430279,1176426,77,2,5,"man"
0.506443915656487,605998,45,6,2,"man"
0.616938297959686,365385,77,2,4,"man"
0.153822994234269,1368430,51,2,4,"man"
0.298024345884928,1010602,54,4,2,"man"
0.589745108024143,1013292,33,4,5,"woman"
0.392434417769199,895212,39,5,5,"man"
0.641991179320847,202252,78,2,1,"man"
0.444875984483367,425350,37,4,2,"woman"
0.235426293861556,747665,37,5,3,"man"
0.18027029711015,1218437,42,5,4,"man"
0.244361819991362,639036,29,3,3,"man"
0.180929852479463,465020,64,3,4,"man"
0.647280733944954,681250,33,3,2,"man"
0.398767406482818,512740,67,4,1,"man"
0.153843021134707,1178630,33,3,3,"man"
0.643830262423227,358200,58,4,2,"man"
0.398767222625091,386120,72,3,4,"woman"
0.281106075987037,1135799,39,4,4,"man"
0.337227366246561,1198586,68,3,3,"man"
0.453890289871627,569045,46,4,1,"man"
0.304246453534058,773728,64,3,4,"man"
0.232638668382439,1196740,52,5,4,"man"
0.431504493090458,238366,75,1,2,"woman"
0.512546577619146,1076429,52,4,4,"man"
0.443092700583149,278488,72,2,4,"man"
0.560739158153954,821908,39,3,3,"man"
0.628179458347789,239231,81,2,1,"man"
0.651946588651571,202354,77,1,4,"woman"
0.481890650829609,816650,67,2,4,"man"
0.677414463084068,211020,75,2,4,"man"
0.238596593773517,410601,57,2,3,"woman"
0.252967242264782,774962,32,5,4,"man"
0.337435538507479,1168721,63,2,4,"man"
0.407114491382451,653202,53,5,2,"man"
0.465336474065863,173208,70,1,4,"woman"
0.265282059803524,1510513,49,6,4,"man"
0.363477739879016,1712457,51,5,4,"man"
0.248205164212115,740597,68,3,4,"man"
0.65910175007155,754712,43,7,3,"man"
0.232963129548259,1127217,61,5,3,"man"
0.249526769542997,1003211,61,5,1,"man"
0.351402334114135,192964,76,3,4,"man"
0.317416032607983,1524044,43,7,5,"man"
0.545153617113296,240468,70,4,2,"man"
0.293173735796687,737856,60,2,4,"woman"
0.21728265589539,244106,22,1,4,"woman"
0.618669920683343,39336,73,1,2,"woman"
0.17875451016061,1196188,46,3,5,"man"
0.232341066592909,914707,72,2,4,"man"
0.236063268439318,1860264,36,5,4,"man"
0.303488576965995,544864,26,4,5,"man"
0.423623638894716,1048780,36,4,4,"man"
0.520397439571988,167472,74,1,4,"woman"
0.624111182934712,160888,70,2,4,"man"
0.721514098107377,134628,74,2,1,"man"
0.18043708922124,1066876,50,3,5,"man"
0.604244731428767,937256,52,3,2,"man"
0.349289378480149,812106,33,6,2,"man"
0.542371476640781,241318,51,3,5,"man"
0.496739241940921,409414,39,4,4,"man"
0.456657056369884,527906,73,3,2,"man"
0.507716114313497,427806,58,3,5,"man"
0.288001958364358,980410,34,4,5,"man"
0.503095011730265,292406,38,3,2,"man"
0.635777729636049,147712,87,2,5,"woman"
0.487505628095453,461968,65,1,2,"woman"
0.34430912422868,1355468,59,5,5,"man"
0.334466188293492,523162,74,2,4,"woman"
0.513124024918566,459577,36,5,3,"man"
0.858874659942937,602840,78,2,1,"man"
0.177541840290019,1786914,31,5,4,"man"
0.547069716678147,223562,80,2,2,"woman"
0.0647181724893454,865352,32,1,4,"woman"
0.298163415376481,450129,70,2,2,"man"
0.222491857717606,501088,58,7,4,"man"
0.213533084859945,2138123,32,6,4,"man"
0.148626083618566,1875660,33,4,5,"man"
0.632598465173498,204844,70,2,3,"man"
0.297361345008938,927518,57,4,3,"man"
0.371637899534895,322938,79,2,4,"man"
0.354134715751048,1371896,44,6,4,"man"
0.403023196761714,1740674,49,3,4,"man"
0.169434424555911,352632,70,1,4,"woman"
0.367928700207504,529146,45,5,1,"man"
0.646601994591693,808386,50,5,3,"man"
0.393831972581792,374058,55,3,2,"man"
0.0475304893477051,6007344,34,5,4,"man"
0.393661163591419,498388,74,2,4,"woman"
0.014574236113836,713588,32,1,2,"man"
0.813157833861528,216145,78,2,1,"man"
0.236999546744146,1990046,33,5,4,"man"
0.421937731268034,839394,41,5,3,"man"
0.180123994374707,2303169,36,4,1,"man"
0.346130460291216,1124940,47,4,4,"man"
0.578869427564724,254579,78,2,2,"man"
0.157926443717545,1807677,38,4,4,"man"
0.436430842823363,551895,35,3,3,"man"
0.404743347648465,382346,63,2,2,"man"
0.543897776963159,496483,35,4,2,"man"
0.337489511990478,1332474,45,5,3,"woman"
0.555633918478944,828056,48,5,4,"man"
0.218640522732363,4009394,43,3,4,"man"
0.346713127387255,746150,53,4,2,"man"
0.319698650255478,650938,42,4,4,"man"
0.446051669256233,911993,47,4,4,"man"
0.311654217999374,600332,67,1,3,"woman"
0.541814868825223,709054,54,3,2,"man"
0.441670490381116,1096229,60,11,4,"man"
0.332952265699201,806506,43,4,4,"man"
0.589578440155936,330392,55,4,1,"man"
0.330187850754908,1309497,46,4,4,"man"
0.597514083877314,111830,48,2,1,"man"
0.642693980456445,1367612,47,5,2,"man"
0.430713969789977,746110,79,3,3,"man"
0.724580277971061,112098,62,1,2,"woman"
0.613279276884222,300920,45,5,3,"man"
0.600924664160824,485798,32,6,4,"man"
0.717751912909834,547203,37,4,1,"man"
0.308437790157846,896064,54,6,4,"man"
0.77550267100042,195058,66,2,4,"man"
0.629253707290261,694982,44,6,3,"man"
0.282922441443467,844910,28,4,5,"man"
0.406273048076159,1410096,44,4,2,"man"
0.558700543423111,1143124,34,7,5,"woman"
0.277722096302337,2312758,46,5,4,"man"
0.101407922557957,2538776,46,4,3,"man"
0.29864744207637,844474,50,2,2,"man"
0.478135900655783,716700,32,9,4,"man"
0.266124916623562,1736102,28,5,4,"man"
0.346309924869097,859034,56,2,4,"man"
0.321466567200146,780162,39,4,4,"man"
0.587881758452077,342756,82,2,2,"man"
0.405550353281689,916266,37,4,4,"man"
0.104388580854253,1360417,26,3,5,"man"
0.346669545145059,1204340,56,5,4,"man"
0.320454724166208,890210,45,4,5,"man"
0.465368043476692,831342,31,6,1,"man"
0.505835037595128,526132,53,4,5,"man"
0.513967726743177,322744,80,2,4,"woman"
0.634707606570397,594302,65,3,1,"man"
0.322236615273733,410692,66,2,1,"man"
0.37176293256851,477670,65,1,2,"man"
0.0684838391734357,823844,49,1,4,"woman"
0.379642024889682,322704,19,3,1,"man"
0.69426308937678,204326,74,2,1,"man"
0.469103432951894,360040,60,2,3,"man"
0.392106324581165,1219812,53,4,5,"man"
0.716864188719644,106486,67,2,1,"man"
0.276758207270654,694628,58,3,4,"man"
0.36153091012426,309672,44,4,2,"man"
0.200700187118971,861484,58,4,4,"man"
0.168982016917251,440970,27,1,4,"man"
0.332109698336073,307826,62,1,5,"woman"
0.43732785632061,780961,56,3,5,"man"
0.20879826207169,1053208,37,2,1,"man"
0.329923993619217,277082,67,2,4,"man"
0.233171597483818,1426606,60,3,4,"man"
0.385400549801015,622407,62,4,1,"man"
0.510049215805156,463469,37,5,3,"man"
