dataset	x	y
star	57.4894477748	88.0852855629
star	28.088741319	63.5107944263
star	28.0854682136	63.5901969481
star	28.087273053	63.1232828116
star	27.5780252176	62.8210386566
star	27.7799191139	63.518147517
star	28.5889998149	63.0240805653
star	28.7391414969	62.7208638859
star	27.0246032407	62.9018588649
star	28.8013366963	63.389040388
star	27.186463838	63.5587296478
star	29.2851466002	63.3836058254
star	39.4029453026	51.1508571967
star	28.8113284396	61.3578540576
star	34.3039579069	56.5421259093
star	29.6027609801	60.157346722
star	49.1161568603	63.6600006211
star	39.6175458263	62.9251879574
star	43.23308466	63.1652187223
star	64.8927879422	65.8141767574
star	62.4901493154	74.5842896072
star	68.9880844294	63.232147305
star	62.1056186306	75.9908707599
star	32.4618467439	62.8819029189
star	41.3272006535	49.0702512739
star	44.0071499323	46.4496737846
star	44.0740606888	34.5532038906
star	44.0013152386	33.9042073544
star	45.0063004454	38.2990195507
star	44.4438406096	36.0190833012
star	42.1787133986	26.492119482
star	44.0445656189	35.6622382764
star	41.6404540171	27.0930954213
star	41.9383300069	24.9915229793
star	44.0539275103	33.5563924949
star	39.2067193308	51.5337156971
star	28.7044492315	61.7775254006
star	31.7086628996	58.837754374
star	42.8117114739	30.0204484197
star	43.300614891	31.5264261979
star	40.3986329069	16.3470083822
star	40.4356915763	20.2326706762
star	40.9365466658	16.9130048364
star	39.6615736653	15.609355577
star	40.899259175	20.7985289466
star	41.9686168283	26.4970725985
star	40.3834058238	21.3912255247
star	56.5381264538	32.4442454697
star	52.9706912828	29.0401966941
star	54.6209525885	30.3445244537
star	65.0990443941	27.2415575588
star	63.0559909076	29.7090956748
star	70.9601362323	41.2595012867
star	69.8958192404	43.4537592655
star	70.5958928563	41.9647438672
star	69.6470214273	44.044445022
star	77.392982494	63.3714590552
star	64.4007871926	67.4487184472
star	63.8689598271	70.2137388333
star	56.5944213157	86.9270062202
star	56.5313372853	87.4998110713
star	59.6521583697	87.8094615921
star	56.6365087005	85.637495556
star	58.6722880025	90.077160307
star	58.2216127264	90.4110187715
star	57.9146644768	89.9538027677
star	55.3155090581	80.2518606944
star	54.5757285877	77.5362884724
star	54.4130936504	78.2290865878
star	55.0745059041	79.8175464166
star	29.4329605156	60.8017765444
star	29.4226860665	63.0684648229
star	29.0056141576	63.3907513334
star	58.4618385916	90.2653263904
star	57.997804739	92.1599086113
star	57.5494740761	90.7489065581
star	59.5299284566	88.3272741451
star	58.2493910631	92.1296814778
star	58.0245140126	91.6944211685
star	58.3821244904	90.5534760692
star	62.5667590405	77.7439347591
star	72.1758243064	63.1289294176
star	79.4727615693	63.4086861199
star	80.3577008812	63.2954375404
star	78.7572361375	53.3326200111
star	82.5402395934	56.5410522935
star	86.4358971909	59.7927618087
star	79.4886844186	53.6516742641
star	81.5304203188	56.0253645659
star	79.1867885665	53.2347918468
star	77.8990579454	51.8224583343
star	75.1307142075	23.3724419733
star	76.0580137544	16.3837496882
star	57.6146743876	33.8224476502
star	56.1713975295	32.1179887719
star	66.2878905956	26.1171097453
star	67.8817196169	24.2360184109
star	64.0280813016	27.6726855125
star	77.4966517463	14.9485235577
star	77.6346517616	14.461853927
star	77.8637264289	14.6106776491
star	77.3381581659	15.890054658
star	76.1804165329	15.9125737458
star	77.2526510945	15.1515170246
star	77.4133752817	15.2219279762
star	76.7318493982	16.2168461441
star	49.4711054118	25.0630193062
star	42.4765399431	18.3384735636
star	43.5951158622	19.9942009773
star	50.3399696652	26.4713966117
star	40.7489802561	16.1821416622
star	38.3865255803	14.5802151464
star	38.4040152085	14.4519484496
star	38.7642788913	14.3655904744
star	41.4701423265	17.2780334445
star	47.1554048146	22.3779325323
star	39.5825667453	17.6484528361
star	41.7402438167	17.8293243101
star	39.3118718889	15.6407169743
star	41.6798476925	17.7459190133
star	39.0874644519	15.1223039378
star	41.4815028637	18.0474374446
star	77.6060865492	15.1628725383
star	75.9826615205	16.3069223786
star	76.9457572424	15.858478334
star	77.5437200743	15.253949149
star	77.5847398447	15.8300393854
star	76.8223042562	15.5951653195
star	77.3485716647	15.7745292395
star	77.5731526867	14.7806458332
star	77.9726106776	14.9556987461
star	41.5289197586	24.9164251896
star	43.7225508034	19.0773278036
star	79.3260781751	52.9003912897
star	56.6639740815	87.9401250067
star	57.8217892319	90.6931665489
star	58.2431718991	92.1043278652
